# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Activity_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of subject","options":{"0":"sniff_other","1":"sniff_air","2":"rest","3":"looking","4":"grooming"},"default_option_id":""},"2":{"aname":"Activity_Stimuli","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Behavior of stimuli","options":{"0":"sniff_other","1":"sniff_air","2":""},"default_option_id":""},"3":{"aname":"Sniff_Location_Subject","anchor_id":"FILE1_Z2_XY0","type":4,"desc":"Location subject is sniffing","options":{"0":"back","1":"neck","2":"left_armpit","3":"right_armpit","4":"left_thigh","5":"right_thigh","6":"anogenital","7":"air","8":"unclear"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"4_tT4m1WGV","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[137.479,138.89809]","[]","{""1"":""0""}"
"4_9PkR44AJ","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[140.08559,143.02309]","[]","{""1"":""0""}"
"4_laNZr9PK","[""14650_220419_9_cm_1_stacked_91950_105550.mp4""]",0,"[143.639,236.06476]","[]","{""1"":""2""}"
"6_bKAnj6w2","[""14650_220419_13_cm_1_stacked_138250_147750.mp4""]",0,"[51.994,189.98142]","[]","{""1"":""2""}"
"7_KhtTZ55P","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[53.972,59.22771]","[]","{""1"":""2""}"
"7_QQ0mPnBh","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[66.95271,75.62771]","[]","{""1"":""2""}"
"7_CO0cVitJ","[""14650_220422_7_cf_1_stacked_82050_92800.mp4""]",0,"[80.85,214.6757]","[]","{""1"":""2""}"
"8_QQoWO6PO","[""14650_220422_9_cm_1_stacked_105800_116950.mp4""]",0,"[55.097,222.8253]","[]","{""1"":""2""}"
"9_Mq0xYKsh","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[32.377,34.73142]","[]","{""1"":""2""}"
"9_7MBQ91FS","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[39.94,42.06476]","[]","{""1"":""2""}"
"9_ZYSA19wo","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[55.544,58.25226]","[]","{""1"":""2""}"
"9_RbDBpG6Q","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[58.252,62.75226]","[]","{""1"":""4""}"
"9_RPKgK2pR","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[62.752,66.18976]","[]","{""1"":""2""}"
"9_4jjCXkMX","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[73.75226,79.85642]","[]","{""1"":""0""}"
"9_XCbj0dS5","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[80.52309,83.12726]","[]","{""1"":""2""}"
"9_7DsE69tj","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[83.127,84.46059]","[]","{""1"":""4""}"
"9_JsXngrFe","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[84.461,85.461]","[]","{""1"":""2""}"
"9_FEO8Tk0y","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[94.299,96.29392]","[]","{""1"":""2""}"
"9_5daPxiSP","[""14650_220422_11_cf_1_stacked_130700_142600.mp4""]",0,"[146.50226,149.06476]","[]","{""1"":""2""}"
"10_9QGscqRt","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[25.086,47.77309]","[]","{""1"":""2""}"
"10_5wEv7g0R","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[57.927,96.18976]","[]","{""1"":""2""}"
"10_CF5HzXdA","[""14650_220422_13_cm_1_stacked_155250_167650.mp4""]",0,"[107.581,247.84237]","[]","{""1"":""2""}"
"11_yMzNlbE7","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[83.801,86.50677]","[]","{""1"":""2""}"
"11_ultcJ9Dt","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[89.1,120.63177]","[]","{""1"":""2""}"
"11_9fUwNieJ","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[123.39,127.44427]","[]","{""1"":""0""}"
"11_opEOVYZJ","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[129.882,170.13177]","[]","{""1"":""0""}"
"11_jDcKT9b2","[""29928_220401_3_colony_1_stacked_31100_44800.mp4""]",0,"[173.518,185.81927]","[]","{""1"":""2""}"
"5_ey4XiAnR","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[17.812,20.16892]","[]","{""1"":""2""}"
"5_r0d0GHWF","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[40.111,103.31927]","[]","{""1"":""2""}"
"5_FzmsRnD8","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[114.09,125.81927]","[]","{""1"":""2""}"
"5_0wUXGrqo","[""14650_220419_11_cf_1_stacked_117500_127500.mp4""]",0,"[141.569,199.75677]","[]","{""1"":""2""}"
